"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 07 14:44:41 GMT 2025","Wed May 07 14:44:42 GMT 2025","1013","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployee","Добавление нового сотрудника в компанию",""
"passed","Wed May 07 14:44:32 GMT 2025","Wed May 07 14:44:32 GMT 2025","382","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompanyWithInvalidId","Получение списка сотрудников для несуществующей компании",""
"passed","Wed May 07 14:44:31 GMT 2025","Wed May 07 14:44:32 GMT 2025","805","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeById","Получение сотрудника по Id",""
"passed","Wed May 07 14:44:37 GMT 2025","Wed May 07 14:44:38 GMT 2025","1370","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addEmployeeTwice","Добавление одного и того же сотрудника два раза в одну компанию",""
"passed","Wed May 07 14:44:32 GMT 2025","Wed May 07 14:44:33 GMT 2025","387","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeByInvalidId","Получение сотрудника по несуществующему Id",""
"passed","Wed May 07 14:44:23 GMT 2025","Wed May 07 14:44:27 GMT 2025","4580","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Wed May 07 14:44:40 GMT 2025","Wed May 07 14:44:41 GMT 2025","940","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployeeToInvalidCompany","Добавление нового сотрудника в несуществующую компанию",""
"passed","Wed May 07 14:44:29 GMT 2025","Wed May 07 14:44:30 GMT 2025","1044","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateInvalidEmployeeInfo","Изменить информацию несуществующему сотруднику",""
"passed","Wed May 07 14:44:38 GMT 2025","Wed May 07 14:44:40 GMT 2025","1301","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfoWithoutSchema","Изменение данных сотрудника. Тело запроса не по схеме",""
"passed","Wed May 07 14:44:18 GMT 2025","Wed May 07 14:44:19 GMT 2025","708","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","validAuth","Авторизация с валидным логином и паролем",""
"passed","Wed May 07 14:44:33 GMT 2025","Wed May 07 14:44:34 GMT 2025","950","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfo","Изменить информацию о сотруднике. Тело запроса согласно схеме",""
"passed","Wed May 07 14:44:30 GMT 2025","Wed May 07 14:44:31 GMT 2025","895","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployeeWithAllData","Добавление нового сотрудника со всеми полями по схеме",""
"passed","Wed May 07 14:44:36 GMT 2025","Wed May 07 14:44:37 GMT 2025","669","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Wed May 07 14:44:42 GMT 2025","Wed May 07 14:44:43 GMT 2025","1016","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfo","Изменение данных сотрудника. Тело запроса по схеме",""
"passed","Wed May 07 14:44:19 GMT 2025","Wed May 07 14:44:19 GMT 2025","360","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","invalidAuth","Авторизация заблокированным пользователем",""
"passed","Wed May 07 14:44:12 GMT 2025","Wed May 07 14:44:18 GMT 2025","6317","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [2] performance_glitch_user",""
"passed","Wed May 07 14:43:55 GMT 2025","Wed May 07 14:44:12 GMT 2025","16458","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [1] standard_user",""
"passed","Wed May 07 14:44:27 GMT 2025","Wed May 07 14:44:28 GMT 2025","1247","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfoWithoutSchema","Изменить информацию о сотруднике. Тело запроса не по схеме",""
"passed","Wed May 07 14:44:42 GMT 2025","Wed May 07 14:44:42 GMT 2025","543","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeeById","Получить сотрудника по id",""
"passed","Wed May 07 14:44:28 GMT 2025","Wed May 07 14:44:29 GMT 2025","860","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployee","Добавление нового сотрудника с минимальным набором полей",""
